Timestamp_min,Reactor_Temp_C,Jacket_Flow_Rate_L_min,Pressure_atm,Reactant_A_Conc_mol_L,Product_B_Conc_mol_L,Reactor_Run_ID
250,85,1015,3.2,1.52,0.98,2
251,85.5,1007,3.18,1.47,1.03,2
252,85,1012,3.22,1.42,1.08,2
253,84.5,1009,3.19,1.37,1.13,2
254,85,1016,3.21,1.32,1.18,2
255,84,1010,3.17,1.27,1.23,2
256,85.5,1013,3.2,1.22,1.28,2
257,85,1004,3.16,1.17,1.33,2
258,84.5,1010,3.23,1.12,1.38,2
259,85,1007,3.19,1.07,1.43,2
260,84,1012,3.21,1.02,1.48,2
261,85.5,1009,3.17,0.97,1.53,2
262,85,1015,3.2,0.92,1.57,2
263,84.5,1011,3.18,0.87,1.63,2
264,85,1007,3.22,0.82,1.68,2
265,84,1013,3.19,0.77,1.73,2
266,85.5,1009,3.21,0.72,1.77,2
267,85,1015,3.17,0.67,1.83,2
268,84.5,1011,3.2,0.62,1.87,2
269,85,1007,3.18,0.57,1.93,2
270,84,1013,3.22,0.52,1.97,2
271,85.5,1009,3.19,0.47,2.03,2
272,85,1015,3.21,0.42,2.07,2
273,84.5,1011,3.17,0.37,2.13,2
274,85,1007,3.2,0.32,2.17,2
275,84,1013,3.18,0.27,2.23,2
276,85.5,1009,3.22,0.22,2.27,2
277,85,1015,3.19,0.17,2.33,2
278,84.5,1011,3.21,0.12,2.37,2
279,85,1007,3.17,0.07,2.43,2
280,84,1013,3.2,0.02,2.47,2
281,85.5,1009,3.18,0,2.5,2
282,85,1015,3.22,0,2.5,2
283,84.5,1011,3.19,0,2.5,2
284,85,1007,3.21,0,2.5,2
285,84,1013,3.17,0,2.5,2
286,85.5,1009,3.2,0,2.5,2
287,85,1015,3.18,0,2.5,2
288,84.5,1011,3.22,0,2.5,2
289,85,1007,3.19,0,2.5,2
290,84,1013,3.21,0,2.5,2
291,85.5,1009,3.17,0,2.5,2
292,85,1015,3.2,0,2.5,2
293,84.5,1011,3.18,0,2.5,2
294,85,1007,3.22,0,2.5,2
295,84,1013,3.19,0,2.5,2
296,85.5,1009,3.21,0,2.5,2
297,85,1015,3.17,0,2.5,2
298,84.5,1011,3.2,0,2.5,2
299,85,1007,3.18,0,2.5,2
300,85,1015,3.2,2.5,0,3
301,84.5,1007,3.18,2.49,0.01,3
302,85,1012,3.22,2.48,0.02,3
303,85.5,1009,3.19,2.47,0.03,3
304,86,1016,3.21,2.46,0.04,3
305,85.5,1008,3.23,2.45,0.05,3
306,86,1013,3.19,2.44,0.06,3
307,86.5,1009,3.22,2.43,0.07,3
308,87,1014,3.2,2.42,0.08,3
309,87.5,1010,3.18,2.41,0.09,3
310,88,1015,3.21,2.4,0.1,3
311,88.5,1007,3.19,2.39,0.11,3
312,89,1012,3.23,2.38,0.12,3
313,89.5,1009,3.16,2.37,0.13,3
314,90,1014,3.2,2.36,0.14,3
315,90.5,1008,3.18,2.35,0.15,3
316,91,1013,3.22,2.34,0.16,3
317,91.5,1009,3.19,2.33,0.17,3
318,92,1014,3.21,2.32,0.18,3
319,92.5,1007,3.17,2.31,0.19,3
320,93,1012,3.2,2.3,0.2,3
321,93.5,1009,3.18,2.29,0.21,3
322,94,1014,3.22,2.28,0.22,3
323,94.5,1007,3.16,2.27,0.23,3
324,95,1012,3.2,2.26,0.24,3
325,95.5,1009,3.18,2.25,0.25,3
326,96,1014,3.21,2.24,0.26,3
327,96.5,1007,3.17,2.23,0.27,3
328,97,1012,3.2,2.22,0.28,3
329,97.5,1009,3.18,2.21,0.29,3
330,98,1014,3.22,2.2,0.3,3
331,98.5,1007,3.16,2.19,0.31,3
332,99,1012,3.2,2.18,0.32,3
333,100,1009,3.18,2.17,0.33,3
334,100.5,1014,3.21,2.16,0.34,3
335,101,1007,3.17,2.15,0.35,3
336,101.5,1012,3.2,2.14,0.36,3
337,102,1009,3.18,2.13,0.37,3
338,102.5,1014,3.22,2.12,0.38,3
339,103,1007,3.16,2.11,0.39,3
340,103.5,1012,3.2,2.1,0.4,3
341,104,1009,3.18,2.09,0.41,3
342,104.5,1014,3.21,2.08,0.42,3
343,105,1007,3.17,2.07,0.43,3
344,105.5,1012,3.2,2.06,0.44,3
345,106,1009,3.18,2.05,0.45,3
346,106.5,1014,3.22,2.04,0.46,3
347,107,1007,3.16,2.03,0.47,3
348,107.5,1012,3.2,2.02,0.48,3
349,108,1009,3.18,2.01,0.49,3
350,85,1015,3.2,2.01,0.49,3
351,85.5,1018,3.21,2,0.5,3
352,86,1012,3.19,1.99,0.51,3
353,86.5,1017,3.2,1.98,0.52,3
354,87,1014,3.18,1.97,0.53,3
355,87.5,1019,3.2,1.96,0.54,3
356,88,1013,3.19,1.95,0.55,3
357,88.5,1016,3.21,1.94,0.56,3
358,89,1011,3.18,1.93,0.57,3
359,89.5,1015,3.2,1.92,0.58,3
360,90,1012,3.19,1.91,0.59,3
361,90.5,1017,3.2,1.9,0.6,3
362,91,1014,3.18,1.89,0.61,3
363,91.5,1019,3.21,1.88,0.62,3
364,92,1013,3.19,1.87,0.63,3
365,92.5,1016,3.2,1.86,0.64,3
366,93,1012,3.18,1.85,0.65,3
367,93.5,1015,3.2,1.84,0.66,3
368,94,1011,3.19,1.83,0.67,3
369,94.5,1017,3.2,1.82,0.68,3
370,95,1014,3.18,1.81,0.69,3
371,95.5,1019,3.2,1.8,0.7,3
372,96,1013,3.19,1.79,0.71,3
373,96.5,1016,3.21,1.78,0.72,3
374,97,1012,3.18,1.77,0.73,3
375,97.5,1015,3.2,1.76,0.74,3
376,98,1011,3.19,1.75,0.75,3
377,98.5,1017,3.2,1.74,0.76,3
378,99,1014,3.18,1.73,0.77,3
379,99.5,1019,3.2,1.72,0.78,3
380,100,1013,3.19,1.71,0.79,3
381,100.5,1016,3.21,1.7,0.8,3
382,101,1012,3.18,1.69,0.81,3
383,101.5,1015,3.2,1.68,0.82,3
384,102,1011,3.19,1.67,0.83,3
385,102.5,1017,3.2,1.66,0.84,3
386,103,1014,3.18,1.65,0.85,3
387,103.5,1019,3.21,1.64,0.86,3
388,104,1013,3.19,1.63,0.87,3
389,104.5,1016,3.2,1.62,0.88,3
390,105,1012,3.18,1.61,0.89,3
391,105.5,1015,3.2,1.6,0.9,3
392,106,1011,3.19,1.59,0.91,3
393,106.5,1017,3.21,1.58,0.92,3
394,107,1014,3.18,1.57,0.93,3
395,107.5,1019,3.2,1.56,0.94,3
396,108,1013,3.19,1.55,0.95,3
397,108.5,1016,3.21,1.54,0.96,3
398,109,1012,3.18,1.53,0.97,3
399,109.5,1015,3.2,1.52,0.98,3
400,85,1015,3.2,1.52,0.98,3
401,84.5,1007,3.18,1.47,0.99,3
402,85,1019,3.16,1.42,1.03,3
403,84,1011,3.19,1.37,1.08,3
404,85.5,1003,3.21,1.32,1.13,3
405,84,1016,3.17,1.27,1.18,3
406,85.25,1009,3.15,1.22,1.23,3
407,84.75,1013,3.22,1.17,1.28,3
408,85.5,1005,3.19,1.12,1.33,3
409,84,1018,3.16,1.07,1.37,3
410,85.25,1006,3.21,1.02,1.43,3
411,84.75,1012,3.18,0.97,1.48,3
412,85.5,1008,3.2,0.92,1.55,3
413,84,1015,3.17,0.87,1.6,3
414,85.25,1003,3.19,0.82,1.65,3
415,84.75,1011,3.22,0.77,1.7,3
416,85.5,1007,3.16,0.72,1.75,3
417,84,1014,3.21,0.67,1.8,3
418,85.25,1009,3.18,0.62,1.85,3
419,84.75,1012,3.2,0.57,1.9,3
420,85.5,1006,3.17,0.52,1.95,3
421,84,1015,3.22,0.47,2,3
422,85.25,1003,3.19,0.42,2.05,3
423,84.75,1011,3.21,0.37,2.1,3
424,85.5,1007,3.16,0.32,2.15,3
425,84,1014,3.2,0.27,2.2,3
426,85.25,1009,3.17,0.22,2.25,3
427,84.75,1012,3.22,0.17,2.3,3
428,85.5,1006,3.19,0.12,2.35,3
429,84,1015,3.21,0.07,2.4,3
430,85.25,1003,3.16,0.02,2.45,3
431,84.75,1011,3.2,0,2.5,3
432,85.5,1007,3.17,0,2.5,3
433,84,1014,3.22,0,2.5,3
434,85.25,1009,3.19,0,2.5,3
435,84.75,1012,3.21,0,2.5,3
436,85.5,1006,3.16,0,2.5,3
437,84,1015,3.2,0,2.5,3
438,85.25,1003,3.17,0,2.5,3
439,84.75,1011,3.22,0,2.5,3
440,85.5,1007,3.19,0,2.5,3
441,84,1014,3.21,0,2.5,3
442,85.25,1009,3.16,0,2.5,3
443,84.75,1012,3.2,0,2.5,3
444,85.5,1006,3.17,0,2.5,3
445,84,1015,3.22,0,2.5,3
446,85.25,1003,3.19,0,2.5,3
447,84.75,1011,3.21,0,2.5,3
448,85.5,1007,3.16,0,2.5,3
449,84,1014,3.2,0,2.5,3
450,85,1015,3.2,2.5,0,4
451,85.5,1013,3.18,2.49,0.01,4
452,85,1016,3.22,2.48,0.02,4
453,84.5,1018,3.19,2.47,0.03,4
454,85,1014,3.21,2.46,0.04,4
455,85.5,1012,3.17,2.45,0.05,4
456,85,1019,3.23,2.44,0.06,4
457,84.5,1017,3.16,2.43,0.07,4
458,85,1015,3.24,2.42,0.08,4
459,85.5,1013,3.18,2.41,0.09,4
460,85,1016,3.22,2.4,0.1,4
461,84.5,1018,3.19,2.39,0.11,4
462,85,1014,3.21,2.38,0.12,4
463,85.5,1012,3.17,2.37,0.13,4
464,85,1019,3.23,2.36,0.14,4
465,84.5,1017,3.16,2.35,0.15,4
466,85,1015,3.24,2.34,0.16,4
467,85.5,1013,3.18,2.33,0.17,4
468,85,1016,3.22,2.32,0.18,4
469,84.5,1018,3.19,2.31,0.19,4
470,85,1014,3.21,2.3,0.2,4
471,85.5,1012,3.17,2.29,0.21,4
472,85,1019,3.23,2.28,0.22,4
473,84.5,1017,3.16,2.27,0.23,4
474,85,1015,3.24,2.26,0.24,4
475,85.5,1013,3.18,2.25,0.25,4
476,85,1016,3.22,2.24,0.26,4
477,84.5,1018,3.19,2.23,0.27,4
478,85,1014,3.21,2.22,0.28,4
479,85.5,1012,3.17,2.21,0.29,4
480,85,1019,3.23,2.2,0.3,4
481,84.5,1017,3.16,2.19,0.31,4
482,85,1015,3.24,2.18,0.32,4
483,85.5,1013,3.18,2.17,0.33,4
484,85,1016,3.22,2.16,0.34,4
485,84.5,1018,3.19,2.15,0.35,4
486,85,1014,3.21,2.14,0.36,4
487,85.5,1012,3.17,2.13,0.37,4
488,85,1019,3.23,2.12,0.38,4
489,84.5,1017,3.16,2.11,0.39,4
490,85,1015,3.24,2.1,0.4,4
491,85.5,1013,3.18,2.09,0.41,4
492,85,1016,3.22,2.08,0.42,4
493,84.5,1018,3.19,2.07,0.43,4
494,85,1014,3.21,2.06,0.44,4
495,85.5,1012,3.17,2.05,0.45,4
496,85,1019,3.23,2.04,0.46,4
497,84.5,1017,3.16,2.03,0.47,4
498,85,1015,3.24,2.02,0.48,4
499,85.5,1013,3.18,2.01,0.49,4
500,85,1015,3.2,2.01,0.49,4
501,84.5,1007,3.18,2,0.5,4
502,85,1011,3.22,1.99,0.51,4
503,84,1022,3.16,1.98,0.52,4
504,85.5,1009,3.19,1.97,0.53,4
505,84,1016,3.21,1.96,0.54,4
506,85.5,1002,3.17,1.95,0.55,4
507,84,1018,3.2,1.94,0.56,4
508,85,1005,3.15,1.93,0.57,4
509,84.5,1019,3.23,1.92,0.58,4
510,85,1008,3.18,1.91,0.59,4
511,84,1021,3.22,1.9,0.6,4
512,85.5,1010,3.16,1.89,0.61,4
513,84,1017,3.2,1.88,0.62,4
514,85,1004,3.19,1.87,0.63,4
515,84.5,1020,3.21,1.86,0.64,4
516,85,1007,3.14,1.85,0.65,4
517,84,1016,3.23,1.84,0.66,4
518,85.5,1009,3.17,1.83,0.67,4
519,84,1019,3.2,1.82,0.68,4
520,85,1006,3.18,1.81,0.69,4
521,84.5,1022,3.22,1.8,0.7,4
522,85,1008,3.16,1.79,0.71,4
523,84,1018,3.2,1.78,0.72,4
524,85.5,1004,3.19,1.77,0.73,4
525,84,1020,3.21,1.76,0.74,4
526,85,1007,3.15,1.75,0.75,4
527,84.5,1017,3.23,1.74,0.76,4
528,85,1009,3.18,1.73,0.77,4
529,84,1019,3.2,1.72,0.78,4
530,85.5,1006,3.16,1.71,0.79,4
531,84,1022,3.22,1.7,0.8,4
532,85,1008,3.14,1.69,0.81,4
533,84.5,1018,3.2,1.68,0.82,4
534,85,1004,3.17,1.67,0.83,4
535,84,1020,3.21,1.66,0.84,4
536,85.5,1007,3.15,1.65,0.85,4
537,84,1017,3.23,1.64,0.86,4
538,85,1009,3.18,1.63,0.87,4
539,84.5,1019,3.2,1.62,0.88,4
540,85,1006,3.16,1.61,0.89,4
541,84,1022,3.22,1.6,0.9,4
542,85.5,1008,3.14,1.59,0.91,4
543,84,1018,3.2,1.58,0.92,4
544,85,1004,3.17,1.57,0.93,4
545,84.5,1020,3.21,1.56,0.94,4
546,85,1007,3.15,1.55,0.95,4
547,84,1017,3.23,1.54,0.96,4
548,85,1009,3.18,1.53,0.97,4
549,84.5,1019,3.2,1.52,0.98,4
550,85,1015,3.2,1.52,0.98,4
551,84.5,1007,3.18,1.47,1.03,4
552,85,1012,3.22,1.42,1.08,4
553,84.9,1019,3.19,1.37,1.13,4
554,85.4,1006,3.21,1.32,1.18,4
555,85.9,1010,3.17,1.27,1.23,4
556,86.4,1017,3.23,1.22,1.28,4
557,86.9,1009,3.15,1.17,1.33,4
558,87.4,1014,3.2,1.12,1.38,4
559,87.9,1008,3.12,1.07,1.43,4
560,88.4,1013,3.19,1.02,1.48,4
561,88.9,1007,3.24,0.97,1.53,4
562,89.4,1010,3.16,0.92,1.57,4
563,89.9,1015,3.21,0.87,1.63,4
564,90.4,1009,3.18,0.82,1.67,4
565,90.9,1014,3.25,0.77,1.73,4
566,91.4,1007,3.19,0.72,1.77,4
567,91.9,1012,3.22,0.67,1.83,4
568,92.4,1006,3.15,0.62,1.87,4
569,92.9,1011,3.2,0.57,1.93,4
570,93.4,1009,3.17,0.52,1.97,4
571,93.9,1014,3.24,0.47,2.03,4
572,94.4,1008,3.19,0.42,2.07,4
573,94.9,1013,3.26,0.37,2.13,4
574,95.4,1007,3.18,0.32,2.17,4
575,95.9,1012,3.23,0.27,2.23,4
576,96.4,1006,3.16,0.22,2.27,4
577,96.9,1011,3.21,0.17,2.33,4
578,97.4,1009,3.19,0.12,2.37,4
579,97.9,1014,3.26,0.07,2.43,4
580,98.4,1008,3.18,0.02,2.47,4
581,98.9,1013,3.23,0.07,2.43,4
582,99.4,1007,3.16,0.12,2.37,4
583,99.9,1012,3.21,0.17,2.33,4
584,100.4,1006,3.19,0.22,2.27,4
585,100.9,1011,3.26,0.27,2.23,4
586,101.4,1009,3.18,0.32,2.17,4
587,101.9,1014,3.23,0.37,2.13,4
588,102.4,1008,3.16,0.42,2.07,4
589,102.9,1013,3.21,0.47,2.03,4
590,103.4,1007,3.19,0.52,1.97,4
591,103.9,1012,3.26,0.57,1.93,4
592,104.4,1006,3.18,0.62,1.87,4
593,104.9,1011,3.23,0.67,1.83,4
594,105.4,1009,3.16,0.72,1.77,4
595,105.9,1014,3.21,0.77,1.73,4
596,106.4,1007,3.19,0.82,1.67,4
597,106.9,1012,3.26,0.87,1.63,4
598,107.4,1006,3.18,0.92,1.57,4
599,107.9,1011,3.23,0.97,1.53,4
600,85,1015,3.2,0.97,1.53,4
601,85.5,1013,3.18,0.96,1.54,4
602,86,1017,3.16,0.95,1.55,4
603,86.5,1011,3.14,0.94,1.56,4
604,87,1019,3.12,0.93,1.57,4
605,87.5,1016,3.1,0.92,1.58,4
606,88,1012,3.08,0.91,1.59,4
607,88.5,1014,3.06,0.9,1.6,4
608,89,1018,3.04,0.89,1.61,4
609,89.5,1015,3.02,0.88,1.62,4
610,90,1013,3,0.87,1.63,4
611,90.5,1017,2.98,0.86,1.64,4
612,91,1016,2.96,0.85,1.65,4
613,91.5,1012,2.94,0.84,1.66,4
614,92,1014,2.92,0.83,1.67,4
615,92.5,1018,2.9,0.82,1.68,4
616,93,1015,2.88,0.81,1.69,4
617,93.5,1013,2.86,0.8,1.7,4
618,94,1017,2.84,0.79,1.71,4
619,94.5,1016,2.82,0.78,1.72,4
620,95,1012,2.8,0.77,1.73,4
621,95.5,1014,2.78,0.76,1.74,4
622,96,1018,2.76,0.75,1.75,4
623,96.5,1015,2.74,0.74,1.76,4
624,97,1013,2.72,0.73,1.77,4
625,97.5,1017,2.7,0.72,1.78,4
626,98,1016,2.68,0.71,1.79,4
627,98.5,1012,2.66,0.7,1.8,4
628,99,1014,2.64,0.69,1.81,4
629,99.5,1018,2.62,0.68,1.82,4
630,100,1015,2.6,0.67,1.83,4
631,100.5,1013,2.58,0.66,1.84,4
